Wall time,Step,Value
1495556027.860216,99999,0.8077999949455261
1495557389.305498,149999,0.8220999836921692
1495558755.148053,199999,0.8330000042915344
1495560134.258545,249999,0.8248999714851379
1495561532.437752,299999,0.9395999908447266
1495562946.94937,349999,0.8476999998092651
1495564376.937727,399999,0.9110999703407288
1495565836.406956,449999,0.9918000102043152
1495567308.480088,499999,1.1747000217437744
1495568792.549314,549999,1.2421000003814697
1495570284.110787,599999,1.4146000146865845
1495571773.820464,649999,1.4717999696731567
1495573267.094861,699999,1.5422999858856201
1495574763.967887,749999,1.4951000213623047
1495576251.574506,799999,1.5657999515533447
1495577750.035621,849999,1.5334999561309814
1495579241.480748,899999,1.643399953842163
1495580749.246952,949999,1.6900999546051025
1495582244.874319,999999,1.7339999675750732
1495583735.494173,1049999,1.7720999717712402
1495585230.774365,1099999,1.8652000427246094
1495586726.797003,1149999,1.8623000383377075
1495588217.173125,1199999,1.8559000492095947
1495589709.797971,1249999,1.8007999658584595
1495591197.262702,1299999,1.937999963760376
1495592675.626758,1349999,1.9158999919891357
1495594158.434682,1399999,1.9529000520706177
1495595649.54424,1449999,1.8640999794006348
1495597134.995276,1499999,1.8797999620437622
1495598621.619639,1549999,1.9239000082015991
1495600106.486736,1599999,1.9704999923706055
1495601588.613781,1649999,1.9752999544143677
1495603073.959545,1699999,1.9809999465942383
1495604556.018274,1749999,1.9486000537872314
1495606034.279927,1799999,1.9918999671936035
1495607514.336392,1849999,2.0511999130249023
1495609002.036047,1899999,2.095599889755249
1495610468.519978,1949999,1.9983999729156494
1495611956.297964,1999999,2.029599905014038
1495613441.743607,2049999,1.958400011062622
1495614924.456621,2099999,1.9901000261306763
1495616412.906285,2149999,1.9740999937057495
1495617887.916598,2199999,1.9926999807357788
1495619365.179514,2249999,2.01990008354187
1495620852.84944,2299999,2.100800037384033
1495622329.055795,2349999,2.0204999446868896
1495623811.216539,2399999,2.036600112915039
1495625296.968566,2449999,2.0620999336242676
1495626777.032794,2499999,2.05649995803833
1495628254.535511,2549999,2.0367000102996826
1495629726.813768,2599999,2.0197999477386475
1495631204.385694,2649999,2.0683000087738037
1495632680.138197,2699999,2.088200092315674
1495634146.879206,2749999,2.0510001182556152
1495635628.166545,2799999,2.095099925994873
1495637108.693229,2849999,2.0492000579833984
1495638583.904497,2899999,2.0845999717712402
1495640065.19521,2949999,2.130000114440918
1495641544.01074,2999999,2.081700086593628
1495643025.919155,3049999,2.064500093460083
1495644504.933913,3099999,2.040800094604492
1495645989.448455,3149999,2.0803000926971436
1495647477.008418,3199999,2.052999973297119
1495648947.718731,3249999,2.015899896621704
1495650423.977946,3299999,2.041300058364868
1495651901.635879,3349999,2.0703001022338867
1495653386.030186,3399999,2.104599952697754
1495654860.807123,3449999,2.0020999908447266
1495656336.086363,3499999,2.1182000637054443
1495657818.964106,3549999,2.0887999534606934
1495659299.308531,3599999,2.1187000274658203
1495660781.824992,3649999,2.102799892425537
1495662265.655744,3699999,2.1064000129699707
