Wall time,Step,Value
1495896211.993894,99999,810.0834350585938
1495902902.174061,149999,835.056640625
1495912337.761755,199999,763.1329956054688
1495924578.18353,249999,722.8351440429688
1495939425.965674,299999,702.5723266601562
1495956828.950221,349999,651.5809326171875
1495977519.866266,399999,650.7263793945312
1496000791.431066,449999,559.2800903320312
1496027019.199561,499999,543.8567504882812
1496054734.230254,549999,462.6278076171875
1496083175.637305,599999,421.7641296386719
1496112322.856342,649999,432.653076171875
1496140639.287212,699999,442.0565185546875
1496168086.473579,749999,431.9159240722656
1496195299.295573,799999,454.4110412597656
1496221700.887646,849999,454.9302673339844
1496246905.951007,899999,454.445556640625
1496271811.986527,949999,460.3244934082031
1496296591.666273,999999,434.52783203125
1496322798.052376,1049999,471.8873596191406
1496350482.971947,1099999,468.5814208984375
1496378063.638142,1149999,442.1104431152344
1496406529.837353,1199999,436.26104736328125
1496435455.646583,1249999,449.091796875
1496463379.722957,1299999,431.92742919921875
1496490643.751431,1349999,415.9101867675781
1496518476.293983,1399999,460.9405822753906
1496544942.019919,1449999,430.57415771484375
1496571500.335707,1499999,460.0
1496597928.860177,1549999,441.0096130371094
1496623650.546221,1599999,437.3610534667969
1496649034.593563,1649999,462.22772216796875
