Wall time,Step,Value
1495992338.775921,99999,16800.0
1495993498.562474,149999,6900.0
1495994649.513866,199999,7600.0
1495995807.98576,249999,7900.0
1495996974.627148,299999,6400.0
1495998152.023522,349999,7700.0
1495999340.990153,399999,6400.0
1496000542.900599,449999,6500.0
1496001758.417522,499999,6400.0
1496002985.016967,549999,7700.0
1496004217.402692,599999,8500.0
1496005449.79061,649999,9000.0
1496006683.967488,699999,7300.0
1496007922.675041,749999,9100.0
1496009158.578546,799999,8300.0
1496010397.261026,849999,9000.0
1496011634.027956,899999,9200.0
1496012871.839386,949999,7500.0
1496014109.65034,999999,8400.0
1496015345.994077,1049999,7200.0
1496016582.160545,1099999,9600.0
1496017817.560816,1149999,8200.0
1496019054.17014,1199999,8700.0
1496020288.205793,1249999,9300.0
1496021521.957343,1299999,6800.0
1496022757.366836,1349999,8700.0
1496023993.064212,1399999,7800.0
1496025229.727962,1449999,8600.0
1496026467.090851,1499999,7600.0
1496027700.60764,1549999,6800.0
1496028935.984405,1599999,8000.0
1496030169.540474,1649999,9400.0
1496031403.430517,1699999,9000.0
1496032636.420002,1749999,8600.0
1496033869.496817,1799999,8400.0
1496035104.378786,1849999,9000.0
1496036338.808298,1899999,8100.0
1496037572.297177,1949999,9200.0
1496038805.792167,1999999,12900.0
1496040041.596899,2049999,12800.0
1496041275.790769,2099999,12300.0
1496042508.147979,2149999,13400.0
1496043741.190153,2199999,16300.0
1496044972.817708,2249999,13800.0
1496046207.016689,2299999,14400.0
1496047411.929739,2349999,16600.0
1496048570.792013,2399999,13200.0
1496049724.565742,2449999,14300.0
1496050880.018027,2499999,13400.0
1496052038.307652,2549999,13500.0
1496053193.559705,2599999,14700.0
1496054350.549542,2649999,18700.0
1496055506.6642,2699999,13700.0
1496056660.285179,2749999,17500.0
1496057813.503824,2799999,14800.0
1496058966.13621,2849999,14700.0
1496060118.030315,2899999,14500.0
1496061270.575607,2949999,15700.0
1496062423.665725,2999999,21900.0
1496063579.092405,3049999,17500.0
1496064776.830106,3099999,15100.0
1496065980.406685,3149999,18600.0
1496067185.864874,3199999,20600.0
1496068389.212287,3249999,28100.0
1496069593.409466,3299999,21300.0
1496070797.993656,3349999,30100.0
1496072002.574552,3399999,22400.0
1496073207.636956,3449999,23300.0
1496074415.455811,3499999,22200.0
1496075623.044521,3549999,21800.0
1496076829.974613,3599999,21900.0
1496078038.519504,3649999,38900.0
1496079245.94987,3699999,34200.0
1496080453.715906,3749999,23800.0
1496081664.630281,3799999,22800.0
1496082875.242756,3849999,23700.0
1496084085.317101,3899999,40200.0
1496085298.693759,3949999,33100.0
1496086509.487765,3999999,26500.0
1496087720.727904,4049999,26700.0
1496088931.38409,4099999,36600.0
1496090145.363526,4149999,24700.0
1496091356.875508,4199999,32400.0
1496092571.732628,4249999,22200.0
1496093784.690316,4299999,23200.0
1496094999.230526,4349999,24800.0
1496096214.539439,4399999,22600.0
1496097429.968411,4449999,34000.0
1496098646.108744,4499999,32000.0
1496099861.720288,4549999,31200.0
1496101080.49744,4599999,36900.0
1496102297.038706,4649999,28800.0
1496103513.267288,4699999,27300.0
1496104730.869841,4749999,33900.0
1496105948.515602,4799999,32100.0
1496107166.575677,4849999,33700.0
1496108385.168905,4899999,34200.0
1496109604.468833,4949999,33900.0
1496110825.247459,4999999,44100.0
1496112047.880148,5049999,38000.0
1496113272.590032,5099999,32800.0
1496114493.827663,5149999,35500.0
1496115713.05753,5199999,38000.0
1496116936.184144,5249999,28100.0
1496118155.233321,5299999,28700.0
1496119377.449672,5349999,34500.0
1496120599.37586,5399999,24500.0
1496121823.10735,5449999,29000.0
1496123045.175305,5499999,35800.0
1496124267.241078,5549999,33900.0
1496125488.968053,5599999,35000.0
1496126672.436057,5649999,33700.0
1496127835.154041,5699999,27400.0
1496129001.219409,5749999,36000.0
1496130167.3058,5799999,31500.0
1496131328.720329,5849999,35400.0
1496132493.479992,5899999,26900.0
1496133657.743985,5949999,47400.0
1496134813.877524,5999999,30900.0
1496135970.650834,6049999,23500.0
1496137126.821037,6099999,33500.0
1496138285.097018,6149999,24500.0
1496139443.796608,6199999,36100.0
1496140599.953913,6249999,26600.0
1496141758.246258,6299999,36300.0
1496142919.282448,6349999,28300.0
1496144076.732583,6399999,26400.0
1496145236.183972,6449999,32300.0
1496146394.268557,6499999,30200.0
1496147553.590458,6549999,37500.0
1496148715.57827,6599999,45700.0
1496149873.239022,6649999,31900.0
1496151034.245337,6699999,34100.0
1496152194.996585,6749999,36100.0
1496153355.320966,6799999,34900.0
1496154519.895273,6849999,26000.0
1496155680.95961,6899999,34700.0
1496156841.810178,6949999,32800.0
1496158001.385557,6999999,23100.0
1496159164.359379,7049999,27800.0
1496160327.100173,7099999,23900.0
1496161491.697845,7149999,35900.0
1496162654.834757,7199999,29800.0
1496163818.320615,7249999,36200.0
1496164983.590781,7299999,39300.0
1496166147.157427,7349999,36900.0
1496167310.248089,7399999,44400.0
1496168474.649217,7449999,38000.0
1496169638.65043,7499999,46900.0
1496170804.071897,7549999,32600.0
1496171970.949918,7599999,43700.0
1496173137.023802,7649999,38000.0
1496174303.442011,7699999,35700.0
1496175468.77991,7749999,31700.0
1496176635.953355,7799999,27800.0
1496177806.265641,7849999,32800.0
1496178975.754255,7899999,31300.0
1496180146.598175,7949999,26800.0
1496181318.611058,7999999,34400.0
1496182490.120885,8049999,32200.0
1496183663.140611,8099999,25800.0
1496184836.174539,8149999,38500.0
1496186007.199734,8199999,28100.0
1496187181.5568,8249999,60100.0
1496188355.531651,8299999,36800.0
1496189526.335943,8349999,27500.0
1496190698.17742,8399999,39000.0
1496191867.600111,8449999,35400.0
1496193035.318709,8499999,27400.0
1496194202.406047,8549999,36200.0
1496195369.141649,8599999,36100.0
1496196535.237686,8649999,38600.0
1496197703.468368,8699999,23500.0
1496198876.208919,8749999,31800.0
1496200051.099409,8799999,30400.0
1496201224.869607,8849999,34800.0
1496202399.907561,8899999,36200.0
1496203573.250701,8949999,43200.0
1496204746.361782,8999999,34600.0
1496205920.395254,9049999,36000.0
1496207095.73463,9099999,35500.0
1496208270.410436,9149999,28600.0
1496209446.591055,9199999,26600.0
1496210621.990054,9249999,30800.0
1496211798.47947,9299999,31600.0
1496212974.773073,9349999,34400.0
1496214151.394356,9399999,34300.0
1496215329.222574,9449999,26900.0
1496216503.253431,9499999,32200.0
1496217680.213773,9549999,46500.0
1496218855.175856,9599999,35200.0
1496220034.987386,9649999,31200.0
1496221211.898718,9699999,33600.0
1496222387.726414,9749999,38400.0
1496223563.719599,9799999,49600.0
1496224749.553151,9849999,39100.0
1496225931.723013,9899999,33700.0
1496227114.886654,9949999,25700.0
1496228295.873868,9999999,38200.0
1496229474.03527,10049999,39300.0
1496230653.168324,10099999,27400.0
1496231832.505057,10149999,36900.0
1496233015.856664,10199999,27600.0
1496234197.598146,10249999,24700.0
1496235377.590735,10299999,33600.0
1496236561.368547,10349999,33800.0
1496237744.852268,10399999,39500.0
1496238927.687023,10449999,37400.0
1496240109.065712,10499999,31100.0
1496241292.877046,10549999,30800.0
1496242474.375593,10599999,46700.0
1496243657.088154,10649999,31700.0
1496244841.13615,10699999,22600.0
1496246025.372389,10749999,35400.0
