Wall time,Step,Value
1495556593.279738,99999,8400.0
1495557749.840448,149999,7400.0
1495558909.352606,199999,8100.0
1495560086.454361,249999,7000.0
1495561274.122541,299999,7800.0
1495562455.845322,349999,8000.0
1495563640.421697,399999,8600.0
1495564824.061466,449999,7700.0
1495566042.499244,499999,7500.0
1495567273.540336,549999,6600.0
1495568506.87941,599999,6400.0
1495569737.54033,649999,8300.0
1495570959.058038,699999,12000.0
1495572188.752079,749999,8700.0
1495573423.885256,799999,7600.0
1495574653.437521,849999,7100.0
1495575880.699081,899999,7500.0
1495577106.465964,949999,8600.0
1495578319.859344,999999,6800.0
1495579531.348232,1049999,7000.0
1495580753.198452,1099999,7600.0
1495581975.82778,1149999,7600.0
1495583193.241794,1199999,7300.0
1495584408.06421,1249999,15300.0
1495585639.78062,1299999,10400.0
1495586873.486712,1349999,9400.0
1495588116.712265,1399999,14900.0
1495589357.632463,1449999,10800.0
1495590611.736723,1499999,8100.0
1495591865.837395,1549999,16500.0
1495593122.781067,1599999,13700.0
1495594373.701629,1649999,13100.0
1495595629.365713,1699999,15400.0
1495596889.130097,1749999,13500.0
1495598138.155704,1799999,16700.0
1495599392.137936,1849999,21000.0
1495600640.933198,1899999,16700.0
1495601893.684753,1949999,13500.0
1495603146.944834,1999999,18200.0
1495604396.405862,2049999,21600.0
1495605650.689687,2099999,16700.0
1495606886.412376,2149999,21900.0
1495608133.652012,2199999,22800.0
1495609387.997182,2249999,25800.0
1495610637.601797,2299999,22600.0
1495611886.989621,2349999,23500.0
1495613140.463039,2399999,20800.0
1495614391.891618,2449999,24700.0
1495615641.198113,2499999,20800.0
1495616890.95763,2549999,21700.0
1495618144.812395,2599999,22900.0
1495619399.051095,2649999,22700.0
1495620653.651493,2699999,21200.0
1495621907.558575,2749999,29100.0
1495623168.015767,2799999,33000.0
1495624422.614501,2849999,32700.0
1495625680.578314,2899999,33400.0
1495626924.013167,2949999,38600.0
1495628170.746454,2999999,32100.0
1495629423.155912,3049999,22700.0
1495630675.030869,3099999,26700.0
1495631926.348442,3149999,34600.0
1495633177.891543,3199999,36100.0
1495634425.165319,3249999,41700.0
1495635677.921501,3299999,33800.0
1495636933.072861,3349999,36600.0
1495638160.687923,3399999,35300.0
1495639408.787404,3449999,38800.0
1495640660.63662,3499999,25200.0
1495641910.586216,3549999,30600.0
1495643166.576723,3599999,36700.0
1495644418.282681,3649999,47200.0
1495645667.787459,3699999,42700.0
1495646922.863144,3749999,34500.0
1495648175.881936,3799999,46100.0
1495649406.395782,3849999,43000.0
1495650653.576768,3899999,44600.0
1495651898.255715,3949999,45500.0
1495653145.839436,3999999,47500.0
1495654390.493646,4049999,46100.0
1495655641.846613,4099999,39100.0
1495656892.511776,4149999,38000.0
1495658143.401976,4199999,33600.0
1495659392.435928,4249999,44100.0
1495660619.377709,4299999,41500.0
1495661842.929059,4349999,47300.0
1495663059.719235,4399999,38200.0
1495664281.680792,4449999,44200.0
1495665506.093434,4499999,37400.0
1495666768.15445,4549999,47200.0
1495668016.225802,4599999,51400.0
1495669260.767515,4649999,44800.0
1495670521.437121,4699999,40600.0
1495671779.317933,4749999,40400.0
1495673035.401962,4799999,45100.0
1495674294.429129,4849999,47500.0
1495675540.655112,4899999,41600.0
1495676797.51849,4949999,46100.0
1495678053.045507,4999999,46600.0
1495679309.828275,5049999,46300.0
1495680569.314138,5099999,51500.0
1495681822.081158,5149999,47600.0
1495683082.988018,5199999,45000.0
1495684337.261242,5249999,45500.0
1495685590.33049,5299999,53200.0
1495686843.971157,5349999,42900.0
1495688087.73314,5399999,42000.0
1495689353.462393,5449999,44800.0
1495690614.432681,5499999,39400.0
1495691874.107803,5549999,50600.0
1495693129.215054,5599999,47300.0
1495694387.437137,5649999,45500.0
1495695631.336993,5699999,45900.0
1495696877.738732,5749999,51200.0
1495698128.904329,5799999,42100.0
1495699386.798672,5849999,52400.0
1495700660.354857,5899999,52000.0
1495701931.415317,5949999,54800.0
1495703190.34059,5999999,39700.0
1495704424.290941,6049999,47400.0
1495705682.255463,6099999,42200.0
1495706941.54921,6149999,45800.0
1495708205.499474,6199999,59200.0
1495709473.710567,6249999,61600.0
1495710747.677673,6299999,53600.0
1495711991.699439,6349999,56500.0
1495713257.862688,6399999,51300.0
1495714512.557143,6449999,56700.0
1495715774.399498,6499999,50400.0
1495717033.825045,6549999,44500.0
1495718298.386027,6599999,55800.0
1495719558.502222,6649999,46300.0
1495720799.108368,6699999,45100.0
1495722071.377789,6749999,43700.0
1495723345.008364,6799999,53600.0
1495724618.599638,6849999,51600.0
1495725882.068323,6899999,56700.0
1495727147.079645,6949999,45500.0
1495728393.702135,6999999,53000.0
1495729648.766853,7049999,49400.0
1495730914.757648,7099999,44800.0
1495732189.455493,7149999,47600.0
1495733476.078369,7199999,57600.0
1495734745.482145,7249999,49700.0
1495736009.937177,7299999,48000.0
1495737259.050089,7349999,51900.0
1495738529.277418,7399999,46600.0
1495739798.237991,7449999,52200.0
1495741068.14864,7499999,54500.0
1495742341.740796,7549999,49800.0
1495743623.934317,7599999,50800.0
1495744903.10686,7649999,43600.0
1495746165.250406,7699999,45400.0
1495747423.967935,7749999,44000.0
1495748698.533358,7799999,51700.0
1495749970.149286,7849999,47100.0
1495751237.309757,7899999,82500.0
1495752515.773699,7949999,51400.0
1495753800.817836,7999999,54700.0
1495755065.154578,8049999,50800.0
1495756330.435205,8099999,51500.0
1495757604.288609,8149999,64300.0
1495758875.488677,8199999,55800.0
1495760151.415008,8249999,72700.0
1495761431.391621,8299999,54400.0
1495762709.304617,8349999,48400.0
1495763988.278695,8399999,65000.0
1495765250.64159,8449999,61900.0
1495766521.817822,8499999,56800.0
1495767793.74663,8549999,53200.0
1495769070.448803,8599999,60600.0
1495770342.383738,8649999,58400.0
1495771607.939947,8699999,50300.0
1495772880.134531,8749999,59900.0
1495774151.867802,8799999,60100.0
1495775414.068479,8849999,44000.0
1495776697.239962,8899999,63300.0
1495777970.589219,8949999,56200.0
1495779245.731527,8999999,54600.0
1495780520.011489,9049999,56300.0
1495781800.115553,9099999,54800.0
