Wall time,Step,Value
1495997513.750929,99999,445.0
1495998601.185298,149999,530.0
1495999689.950692,199999,660.0
1496000785.356399,249999,455.0
1496001893.959487,299999,590.0
1496003011.788069,349999,425.0
1496004126.575547,399999,670.0
1496005250.458194,449999,495.0
1496006386.205501,499999,540.0
1496007532.313675,549999,595.0
1496008678.893118,599999,720.0
1496009816.610373,649999,470.0
1496010958.40951,699999,640.0
1496012109.219885,749999,530.0
1496013261.932948,799999,755.0
1496014412.62346,849999,645.0
1496015569.146369,899999,675.0
1496016726.95164,949999,700.0
1496017877.8342,999999,660.0
1496019023.060596,1049999,745.0
1496020165.678873,1099999,785.0
1496021300.699801,1149999,690.0
1496022435.739286,1199999,740.0
1496023574.115326,1249999,635.0
1496024707.361627,1299999,845.0
1496025835.16003,1349999,775.0
1496026972.225042,1399999,945.0
1496028116.748645,1449999,830.0
1496029253.519557,1499999,845.0
1496030389.678915,1549999,895.0
1496031521.588225,1599999,835.0
1496032658.278828,1649999,800.0
1496033812.18464,1699999,770.0
1496034962.990958,1749999,965.0
1496036109.697327,1799999,1160.0
1496037254.565686,1849999,860.0
1496038394.683313,1899999,890.0
1496039547.93019,1949999,860.0
1496040689.955633,1999999,830.0
1496041830.292107,2049999,1000.0
1496042972.766014,2099999,1000.0
1496044110.511401,2149999,880.0
1496045243.106668,2199999,915.0
1496046381.500363,2249999,690.0
1496047516.80153,2299999,830.0
1496048647.490723,2349999,745.0
1496049781.056595,2399999,930.0
1496050912.593036,2449999,980.0
1496052048.321479,2499999,715.0
1496053194.295693,2549999,1005.0
1496054335.071084,2599999,880.0
1496055474.627879,2649999,800.0
1496056612.484637,2699999,1070.0
1496057748.068437,2749999,885.0
1496058882.082653,2799999,1000.0
1496060012.403955,2849999,945.0
1496061146.059442,2899999,970.0
1496062277.083023,2949999,935.0
1496063402.82458,2999999,800.0
1496064525.89471,3049999,1140.0
1496065647.410734,3099999,795.0
1496066771.321796,3149999,1145.0
1496067903.712178,3199999,1035.0
1496069036.516993,3249999,1000.0
1496070170.785486,3299999,885.0
1496071312.410476,3349999,1005.0
1496072453.480271,3399999,930.0
1496073600.042289,3449999,975.0
1496074742.807632,3499999,820.0
1496075880.668101,3549999,800.0
1496077016.706968,3599999,1640.0
1496078159.119819,3649999,905.0
1496079307.413604,3699999,1120.0
1496080449.863857,3749999,1390.0
1496081590.66692,3799999,990.0
1496082725.189132,3849999,1075.0
1496083862.233068,3899999,1190.0
1496084994.327018,3949999,840.0
1496086119.297764,3999999,795.0
1496087245.10813,4049999,870.0
1496088398.919725,4099999,1100.0
1496089544.322866,4149999,1225.0
1496090687.699226,4199999,1035.0
1496091824.90962,4249999,1290.0
1496092961.128591,4299999,1080.0
1496094104.421596,4349999,945.0
1496095252.375564,4399999,1115.0
1496096394.988265,4449999,1260.0
1496097535.847475,4499999,1070.0
1496098670.870576,4549999,1075.0
1496099801.287489,4599999,1325.0
1496100930.749591,4649999,1230.0
1496102052.911323,4699999,930.0
1496103179.058049,4749999,1145.0
1496104303.219127,4799999,935.0
1496105432.224497,4849999,1030.0
1496106555.960065,4899999,1040.0
1496107678.253067,4949999,1010.0
1496108801.332221,4999999,1220.0
1496109920.518954,5049999,1485.0
1496111039.491469,5099999,1095.0
1496112158.686118,5149999,860.0
1496113282.924027,5199999,1430.0
1496114410.212338,5249999,1000.0
1496115548.795449,5299999,1130.0
1496116691.127047,5349999,1235.0
1496117827.202043,5399999,1070.0
1496118961.076074,5449999,970.0
1496120091.404691,5499999,1000.0
1496121219.838618,5549999,1060.0
1496122358.544739,5599999,1260.0
1496123502.267212,5649999,1165.0
1496124652.914024,5699999,970.0
1496125813.059229,5749999,1395.0
1496126965.297057,5799999,1075.0
1496128115.675273,5849999,1545.0
1496129266.710185,5899999,1350.0
1496130413.762698,5949999,910.0
1496131557.814423,5999999,885.0
1496132708.757623,6049999,1350.0
1496133852.25277,6099999,1230.0
1496134989.46288,6149999,1075.0
1496136120.634729,6199999,1040.0
1496137248.693056,6249999,1290.0
1496138379.548472,6299999,1060.0
1496139506.215684,6349999,1370.0
1496140635.798675,6399999,1165.0
1496141761.129124,6449999,1315.0
1496142885.426958,6499999,1205.0
1496144009.003641,6549999,1125.0
1496145133.869107,6599999,1370.0
1496146249.676324,6649999,1430.0
1496147370.02572,6699999,1740.0
1496148506.413646,6749999,1350.0
1496149641.786402,6799999,1020.0
1496150769.50064,6849999,1065.0
1496151899.390795,6899999,935.0
1496153024.802888,6949999,1350.0
1496154158.813428,6999999,1295.0
1496155296.886247,7049999,1095.0
1496156429.621283,7099999,1115.0
1496157558.427955,7149999,995.0
1496158685.731098,7199999,805.0
1496159814.358076,7249999,1235.0
1496160947.160955,7299999,1170.0
1496162086.969272,7349999,1240.0
1496163227.951608,7399999,1150.0
1496164381.452746,7449999,1025.0
1496165536.041557,7499999,1200.0
