Wall time,Step,Value
1495992465.995665,99999,415.0
1495993761.389021,149999,440.0
1495995052.305023,199999,550.0
1495996347.373195,249999,540.0
1495997648.069444,299999,465.0
1495998949.335933,349999,480.0
1496000256.690984,399999,555.0
1496001565.425866,449999,590.0
1496002884.07514,499999,405.0
1496004210.767749,549999,615.0
1496005544.692514,599999,675.0
1496006870.883212,649999,560.0
1496008194.488683,699999,515.0
1496009520.081481,749999,580.0
1496010873.063259,799999,730.0
1496012219.509997,849999,660.0
1496013558.452047,899999,815.0
1496014895.111043,949999,600.0
1496016224.066677,999999,775.0
1496017551.719818,1049999,715.0
1496018873.033422,1099999,815.0
1496020194.552707,1149999,745.0
1496021534.5278,1199999,745.0
1496022868.523389,1249999,580.0
1496024193.127959,1299999,645.0
1496025532.17662,1349999,875.0
1496026869.465554,1399999,720.0
1496028203.782701,1449999,655.0
1496029534.26314,1499999,1050.0
1496030851.31343,1549999,975.0
1496032168.696264,1599999,850.0
1496033485.091732,1649999,1125.0
1496034798.651615,1699999,700.0
1496036109.090367,1749999,1020.0
1496037422.385993,1799999,785.0
1496038730.270168,1849999,785.0
1496040048.452746,1899999,1095.0
1496041385.249226,1949999,810.0
1496042764.237762,1999999,910.0
1496044094.793694,2049999,940.0
1496045417.274867,2099999,805.0
1496046736.375573,2149999,765.0
1496048059.611119,2199999,775.0
1496049383.566717,2249999,1025.0
1496050706.443232,2299999,1050.0
1496052027.379422,2349999,775.0
1496053359.451785,2399999,720.0
1496054685.820237,2449999,725.0
1496056019.190153,2499999,775.0
1496057337.025906,2549999,910.0
1496058651.12438,2599999,930.0
1496059977.291427,2649999,800.0
1496061302.69586,2699999,1150.0
1496062622.59116,2749999,1060.0
1496063943.328036,2799999,770.0
1496065261.969673,2849999,915.0
1496066580.237373,2899999,945.0
1496067904.160075,2949999,845.0
1496069226.17663,2999999,925.0
1496070549.416045,3049999,890.0
1496071882.39143,3099999,1055.0
1496073207.130171,3149999,785.0
1496074529.199881,3199999,780.0
1496075846.59805,3249999,800.0
1496077164.760574,3299999,1000.0
1496078489.286421,3349999,1205.0
1496079799.58653,3399999,1250.0
1496081107.540659,3449999,880.0
1496082436.058799,3499999,935.0
1496083764.993266,3549999,1125.0
1496085082.166172,3599999,1230.0
1496086401.413998,3649999,1020.0
1496087713.7945,3699999,1025.0
1496089027.657022,3749999,705.0
1496090339.245022,3799999,870.0
1496091660.455909,3849999,1085.0
1496092984.080298,3899999,785.0
1496094309.94444,3949999,1220.0
1496095638.329524,3999999,915.0
1496096969.789331,4049999,1040.0
1496098299.1212,4099999,865.0
1496099625.657791,4149999,825.0
1496100962.621732,4199999,800.0
1496102291.979639,4249999,965.0
1496103613.522718,4299999,1125.0
1496104935.240281,4349999,1060.0
1496106250.508431,4399999,835.0
1496107570.839253,4449999,1015.0
1496108884.403468,4499999,1190.0
1496110199.39173,4549999,1060.0
1496111507.264973,4599999,775.0
1496112832.341364,4649999,1240.0
1496114163.178309,4699999,945.0
1496115489.816909,4749999,1200.0
1496116805.05261,4799999,1040.0
1496118122.922465,4849999,1060.0
1496119435.625364,4899999,1235.0
1496120749.89478,4949999,835.0
1496122054.324199,4999999,1010.0
1496123366.552913,5049999,1095.0
1496124691.167838,5099999,1300.0
1496126012.699042,5149999,1150.0
1496127339.651692,5199999,1070.0
1496128666.979814,5249999,840.0
1496129998.934441,5299999,1110.0
1496131335.907365,5349999,1080.0
1496132663.863022,5399999,990.0
1496133987.195977,5449999,1000.0
1496135306.098463,5499999,1040.0
1496136622.036093,5549999,930.0
1496137938.585866,5599999,1115.0
1496139252.331711,5649999,1285.0
1496140561.778431,5699999,950.0
1496141873.161189,5749999,1065.0
1496143184.335685,5799999,1195.0
1496144489.123176,5849999,1130.0
1496145793.510468,5899999,1195.0
1496147120.367236,5949999,985.0
1496148436.930069,5999999,1115.0
1496149748.796428,6049999,1000.0
1496151052.803668,6099999,980.0
1496152352.331804,6149999,1210.0
1496153660.89755,6199999,1210.0
1496154978.593262,6249999,1295.0
1496156307.032464,6299999,940.0
1496157644.077925,6349999,1120.0
1496158982.033039,6399999,1125.0
1496160319.779662,6449999,940.0
1496161647.33148,6499999,920.0
1496162972.026776,6549999,1070.0
1496164293.813292,6599999,1220.0
1496165611.008982,6649999,1020.0
1496166930.825277,6699999,1150.0
1496168246.612482,6749999,1065.0
1496169557.193741,6799999,990.0
1496170863.326041,6849999,970.0
1496172166.444329,6899999,1235.0
1496173467.051823,6949999,960.0
1496174759.889023,6999999,1195.0
1496176054.574975,7049999,1155.0
1496177346.694855,7099999,965.0
1496178637.215878,7149999,1140.0
1496179954.816896,7199999,965.0
1496181295.516609,7249999,1180.0
1496182635.080969,7299999,1240.0
1496183969.377222,7349999,1175.0
1496185299.838468,7399999,1350.0
1496186620.998752,7449999,1200.0
1496187945.605136,7499999,1120.0
1496189276.435071,7549999,920.0
1496190605.035298,7599999,1070.0
1496191932.672063,7649999,1145.0
1496193263.163623,7699999,1290.0
1496194581.528989,7749999,1090.0
1496195900.254729,7799999,1115.0
1496197214.73611,7849999,1180.0
1496198515.397604,7899999,1280.0
1496199816.57495,7949999,1005.0
1496201121.465347,7999999,1070.0
1496202419.299145,8049999,1570.0
1496203714.665768,8099999,1025.0
1496205012.2572,8149999,975.0
1496206304.524637,8199999,1070.0
