Wall time,Step,Value
1495556207.905417,99999,480.0
1495557679.230743,149999,505.0
1495559131.846965,199999,555.0
1495560589.362948,249999,800.0
1495562054.251432,299999,580.0
1495563522.735474,349999,645.0
1495564997.464372,399999,585.0
1495566482.276447,449999,530.0
1495567974.179198,499999,435.0
1495569469.780696,549999,585.0
1495570970.576826,599999,675.0
1495572467.521105,649999,680.0
1495573963.875336,699999,725.0
1495575465.158207,749999,625.0
1495576956.371908,799999,690.0
1495578446.648516,849999,805.0
1495579937.184531,899999,760.0
1495581425.382089,949999,710.0
1495582906.857062,999999,750.0
1495584388.597684,1049999,710.0
1495585870.296038,1099999,570.0
1495587352.040695,1149999,830.0
1495588833.20899,1199999,730.0
1495590311.220815,1249999,715.0
1495591788.069154,1299999,740.0
1495593268.95446,1349999,775.0
1495594743.120456,1399999,940.0
1495596221.989139,1449999,940.0
1495597695.746379,1499999,910.0
1495599167.097418,1549999,785.0
1495600636.011792,1599999,715.0
1495602110.201531,1649999,1135.0
1495603581.312738,1699999,705.0
1495605050.771921,1749999,660.0
1495606520.345937,1799999,805.0
1495607986.195366,1849999,805.0
1495609455.91768,1899999,750.0
1495610925.600599,1949999,665.0
1495612398.419869,1999999,775.0
1495613867.719239,2049999,695.0
1495615332.167661,2099999,795.0
1495616795.854566,2149999,800.0
1495618265.679811,2199999,905.0
1495619736.559549,2249999,830.0
1495621203.259928,2299999,850.0
1495622665.677195,2349999,685.0
1495624131.121508,2399999,750.0
1495625596.117375,2449999,745.0
1495627063.752492,2499999,745.0
1495628530.052489,2549999,800.0
1495629992.405725,2599999,695.0
1495631459.388806,2649999,940.0
1495632922.655493,2699999,880.0
1495634385.891398,2749999,775.0
1495635845.241409,2799999,835.0
1495637307.021338,2849999,770.0
1495638770.712139,2899999,800.0
1495640236.758671,2949999,820.0
1495641701.517147,2999999,770.0
1495643166.010833,3049999,865.0
1495644629.186491,3099999,800.0
1495646095.96799,3149999,790.0
1495647558.043819,3199999,975.0
1495649016.838244,3249999,1000.0
1495650479.020594,3299999,775.0
1495651942.732225,3349999,955.0
1495653402.938438,3399999,800.0
1495654859.47488,3449999,835.0
1495656321.870399,3499999,1055.0
1495657786.42965,3549999,915.0
1495659248.90272,3599999,780.0
1495660708.066343,3649999,830.0
1495662169.608875,3699999,775.0
1495663631.424636,3749999,1305.0
1495665087.280908,3799999,1015.0
1495666545.628972,3849999,1105.0
1495668003.617142,3899999,1215.0
1495669464.734698,3949999,865.0
1495670923.865748,3999999,1175.0
1495672380.754925,4049999,840.0
1495673842.877313,4099999,840.0
1495675302.205423,4149999,1145.0
1495676759.649218,4199999,1115.0
1495678215.222828,4249999,815.0
1495679675.838118,4299999,1160.0
1495681133.369959,4349999,1095.0
1495682593.674351,4399999,1110.0
1495684050.250802,4449999,975.0
1495685511.897001,4499999,1230.0
1495686975.880202,4549999,990.0
1495688430.850568,4599999,915.0
1495689888.008413,4649999,845.0
1495691350.467665,4699999,1040.0
1495692809.751797,4749999,1025.0
1495694265.910086,4799999,870.0
1495695720.815768,4849999,800.0
1495697179.495035,4899999,975.0
1495698636.128802,4949999,865.0
1495700093.818428,4999999,1140.0
1495701543.910167,5049999,1025.0
1495703001.829448,5099999,1010.0
1495704452.207425,5149999,805.0
1495705908.935629,5199999,970.0
1495707366.84781,5249999,920.0
1495708822.685182,5299999,925.0
1495710273.324771,5349999,1005.0
