Wall time,Step,Value
1495997571.036754,99999,535.0
1495998698.179073,149999,685.0
1495999804.416086,199999,480.0
1496000927.829955,249999,435.0
1496002044.113296,299999,475.0
1496003165.400054,349999,430.0
1496004313.222283,399999,470.0
1496005460.925374,449999,420.0
1496006622.4822,499999,480.0
1496007791.465013,549999,795.0
1496008960.757591,599999,725.0
1496010132.65901,649999,685.0
1496011294.473747,699999,780.0
1496012464.698706,749999,655.0
1496013637.034662,799999,655.0
1496014800.227028,849999,685.0
1496015960.201652,899999,800.0
1496017128.060378,949999,730.0
1496018304.995101,999999,690.0
1496019474.393661,1049999,940.0
1496020641.507112,1099999,925.0
1496021804.207208,1149999,810.0
1496022969.466034,1199999,860.0
1496024130.07299,1249999,800.0
1496025287.274043,1299999,1095.0
1496026444.308493,1349999,925.0
1496027601.1483,1399999,800.0
1496028756.754001,1449999,800.0
1496029912.643682,1499999,985.0
1496031066.476056,1549999,975.0
1496032219.736814,1599999,855.0
1496033369.814096,1649999,775.0
1496034521.091198,1699999,1130.0
1496035671.061839,1749999,1230.0
1496036828.287024,1799999,975.0
1496037990.82461,1849999,980.0
1496039139.923344,1899999,920.0
1496040294.596861,1949999,1035.0
1496041447.625201,1999999,940.0
1496042611.924491,2049999,955.0
1496043775.533578,2099999,800.0
1496044929.038074,2149999,1145.0
1496046095.177351,2199999,825.0
1496047252.639243,2249999,920.0
1496048412.925182,2299999,1090.0
1496049580.538136,2349999,930.0
1496050741.687214,2399999,845.0
1496051894.657707,2449999,945.0
1496053056.231903,2499999,1265.0
1496054209.887363,2549999,770.0
1496055377.824426,2599999,945.0
1496056543.089052,2649999,995.0
1496057694.076914,2699999,1030.0
1496058849.36115,2749999,985.0
1496060005.167475,2799999,1050.0
1496061162.774699,2849999,945.0
1496062314.615755,2899999,1170.0
1496063475.761778,2949999,1155.0
1496064635.498059,2999999,1150.0
1496065790.748731,3049999,1065.0
1496066947.936712,3099999,955.0
1496068106.6788,3149999,1175.0
1496069266.766352,3199999,720.0
1496070426.544073,3249999,1050.0
1496071587.673873,3299999,1320.0
1496072745.944899,3349999,945.0
1496073911.074356,3399999,1185.0
1496075076.225363,3449999,1055.0
1496076238.925302,3499999,1060.0
1496077399.564665,3549999,885.0
1496078566.692754,3599999,970.0
1496079727.970335,3649999,1035.0
1496080884.632829,3699999,1000.0
1496082033.152018,3749999,1065.0
1496083191.204027,3799999,1070.0
1496084343.263804,3849999,1530.0
1496085499.575098,3899999,1165.0
1496086655.2728,3949999,895.0
1496087815.925436,3999999,1210.0
1496088978.753814,4049999,1315.0
1496090131.293764,4099999,1000.0
1496091293.462433,4149999,1400.0
1496092442.718005,4199999,1145.0
1496093588.735866,4249999,1110.0
1496094749.279457,4299999,1435.0
1496095912.91984,4349999,1175.0
1496097064.686257,4399999,1270.0
1496098214.784701,4449999,1575.0
1496099376.102827,4499999,975.0
1496100550.822931,4549999,1505.0
1496101707.960011,4599999,1130.0
1496102875.239253,4649999,1585.0
1496104030.469362,4699999,1125.0
1496105182.67296,4749999,1340.0
1496106344.76752,4799999,1165.0
1496107521.257907,4849999,1270.0
1496108682.288651,4899999,1265.0
1496109828.56864,4949999,1175.0
1496110991.612749,4999999,985.0
1496112156.12071,5049999,1320.0
1496113322.469973,5099999,1115.0
1496114476.820573,5149999,1435.0
1496115636.782924,5199999,1360.0
1496116802.954243,5249999,1195.0
1496117965.004711,5299999,1025.0
1496119126.485133,5349999,1260.0
1496120289.474275,5399999,1205.0
1496121442.23825,5449999,1135.0
1496122603.856993,5499999,1300.0
1496123768.783112,5549999,1220.0
1496124940.676844,5599999,1355.0
1496126095.463889,5649999,1345.0
1496127245.189648,5699999,1190.0
1496128410.847096,5749999,1210.0
1496129564.299399,5799999,955.0
1496130731.20655,5849999,1630.0
1496131883.598184,5899999,1220.0
1496133039.544383,5949999,1395.0
1496134187.811068,5999999,1210.0
1496135351.763306,6049999,1070.0
1496136512.661138,6099999,1400.0
1496137672.506731,6149999,1230.0
1496138822.099894,6199999,1265.0
1496139983.793392,6249999,1025.0
1496141131.313917,6299999,1450.0
1496142284.027482,6349999,975.0
1496143437.083702,6399999,1465.0
1496144589.734391,6449999,1170.0
1496145753.2888,6499999,1375.0
1496146910.426978,6549999,1055.0
1496148066.919823,6599999,1270.0
1496149220.00218,6649999,1340.0
1496150378.638011,6699999,1220.0
1496151532.72803,6749999,1435.0
1496152701.746074,6799999,1430.0
1496153858.229958,6849999,1035.0
1496155021.167154,6899999,1495.0
1496156186.825067,6949999,1305.0
1496157344.005847,6999999,1405.0
1496158502.178349,7049999,1115.0
1496159658.264138,7099999,1145.0
1496160817.033679,7149999,1375.0
1496161975.503685,7199999,1030.0
1496163132.260187,7249999,1425.0
1496164292.624296,7299999,1410.0
1496165443.638311,7349999,1250.0
1496166598.799881,7399999,1230.0
1496167752.112263,7449999,1355.0
1496168901.276387,7499999,1250.0
1496170054.173502,7549999,1300.0
1496171207.49503,7599999,1285.0
1496172356.064469,7649999,1270.0
1496173525.609458,7699999,995.0
1496174681.033067,7749999,1230.0
1496175846.80692,7799999,1550.0
1496176997.689955,7849999,1250.0
1496178155.417342,7899999,1120.0
1496179313.493106,7949999,1185.0
1496180474.493964,7999999,1430.0
1496181622.07305,8049999,1230.0
1496182779.374761,8099999,1145.0
1496183945.652078,8149999,1205.0
1496185114.374909,8199999,1265.0
1496186286.001189,8249999,1235.0
1496187452.500175,8299999,1230.0
1496188612.261658,8349999,1430.0
1496189765.738557,8399999,1230.0
1496190920.882503,8449999,1435.0
1496192080.44528,8499999,1175.0
1496193241.463701,8549999,1590.0
1496194407.473526,8599999,1310.0
1496195573.431858,8649999,1180.0
1496196737.89559,8699999,1225.0
1496197902.245048,8749999,1345.0
1496199066.637314,8799999,1230.0
1496200224.539575,8849999,1570.0
1496201385.620581,8899999,1170.0
1496202540.545479,8949999,1225.0
1496203698.207565,8999999,1480.0
1496204862.78272,9049999,1075.0
1496206026.718633,9099999,1265.0
1496207185.077482,9149999,1160.0
1496208346.059295,9199999,1615.0
1496209501.108607,9249999,1230.0
1496210663.041276,9299999,1175.0
1496211820.906869,9349999,1270.0
1496212969.716674,9399999,1280.0
1496214137.886134,9449999,1195.0
1496215314.543886,9499999,1610.0
1496216474.697502,9549999,1230.0
1496217634.38255,9599999,1370.0
1496218796.398424,9649999,1750.0
1496219955.31659,9699999,1220.0
1496221118.510664,9749999,1200.0
1496222278.342149,9799999,1320.0
1496223430.218346,9849999,1230.0
1496224600.135791,9899999,1435.0
1496225765.097316,9949999,1230.0
1496226931.988812,9999999,1150.0
1496228099.20571,10049999,945.0
1496229261.295232,10099999,1200.0
1496230430.438001,10149999,1285.0
1496231605.487019,10199999,1215.0
1496232763.319631,10249999,1145.0
1496233927.235594,10299999,1270.0
1496235099.650109,10349999,1270.0
1496236270.268689,10399999,1630.0
1496237437.806987,10449999,1255.0
1496238605.726465,10499999,1430.0
1496239768.821932,10549999,1105.0
1496240938.080203,10599999,1155.0
1496242108.211055,10649999,1115.0
1496243285.323348,10699999,1175.0
1496244457.376851,10749999,1435.0
1496245622.580732,10799999,1215.0
1496246792.333511,10849999,1015.0
1496247952.248002,10899999,1400.0
1496249124.452701,10949999,1630.0
1496250297.052183,10999999,1215.0
1496251470.687899,11049999,1205.0
1496252631.476273,11099999,1265.0
1496253807.10872,11149999,1420.0
1496254989.129996,11199999,1350.0
1496256152.524805,11249999,1075.0
1496257315.746834,11299999,1020.0
1496258479.61639,11349999,1205.0
1496259663.478359,11399999,1245.0
1496260845.185662,11449999,1170.0
1496262016.668586,11499999,1375.0
1496263190.050979,11549999,1175.0
1496264356.797333,11599999,1400.0
1496265530.932392,11649999,1500.0
1496266705.580186,11699999,1040.0
1496267873.67381,11749999,1135.0
1496269042.006575,11799999,1305.0
1496270213.069541,11849999,1575.0
1496271395.888459,11899999,1230.0
1496272566.287155,11949999,1230.0
1496273747.398617,11999999,1440.0
1496274925.735237,12049999,1315.0
1496276098.388766,12099999,1260.0
1496277274.357107,12149999,1110.0
1496278455.78804,12199999,1215.0
1496279633.585009,12249999,1085.0
1496280812.354032,12299999,1175.0
1496282001.214133,12349999,985.0
1496283174.217113,12399999,1440.0
1496284360.072272,12449999,1150.0
1496285545.725825,12499999,1270.0
1496286731.985185,12549999,1130.0
1496287906.854222,12599999,1065.0
1496289087.824089,12649999,1255.0
1496290274.473251,12699999,1375.0
1496291446.177498,12749999,1335.0
1496292633.754118,12799999,1230.0
1496293808.240079,12849999,1345.0
1496294991.483879,12899999,1165.0
1496296182.174591,12949999,1660.0
1496297371.479857,12999999,1435.0
1496298560.052076,13049999,1065.0
1496299745.084648,13099999,1290.0
1496300926.615843,13149999,1405.0
1496302112.199362,13199999,1225.0
