Wall time,Step,Value
1496154843.326301,99999,490.0
1496156298.473956,149999,505.0
1496157755.267823,199999,440.0
1496159213.427342,249999,710.0
1496160679.727752,299999,565.0
1496162160.232526,349999,600.0
1496163635.407167,399999,375.0
1496165129.613655,449999,670.0
1496166636.388239,499999,555.0
1496168160.686001,549999,510.0
1496169694.466389,599999,675.0
1496171209.504292,649999,590.0
1496172722.935339,699999,775.0
1496174251.548572,749999,755.0
1496175769.507887,799999,650.0
1496177281.246582,849999,715.0
1496178805.219523,899999,760.0
1496180316.539127,949999,910.0
1496181826.984845,999999,800.0
1496183336.372595,1049999,800.0
1496184841.957167,1099999,915.0
1496186349.365485,1149999,925.0
1496187853.408198,1199999,765.0
1496189362.351337,1249999,970.0
1496190873.602549,1299999,850.0
1496192380.537588,1349999,955.0
1496193881.231264,1399999,800.0
1496195384.569511,1449999,1050.0
1496196888.081449,1499999,850.0
1496198389.609289,1549999,975.0
1496199892.696298,1599999,1125.0
1496201389.075263,1649999,855.0
1496202890.260256,1699999,750.0
1496204390.78021,1749999,850.0
1496205890.679118,1799999,870.0
1496207385.794133,1849999,805.0
1496208888.331229,1899999,1030.0
1496210385.105097,1949999,915.0
1496211887.056806,1999999,1225.0
1496213382.508903,2049999,825.0
1496214884.541569,2099999,905.0
1496216384.554425,2149999,890.0
1496217880.38904,2199999,1040.0
1496219379.366393,2249999,1245.0
1496220869.142036,2299999,1125.0
1496222372.752209,2349999,855.0
1496223881.281145,2399999,1030.0
1496225388.149885,2449999,1155.0
1496226900.311157,2499999,1295.0
1496228395.122347,2549999,1080.0
1496229902.112702,2599999,1000.0
1496231393.485861,2649999,1260.0
1496232888.437483,2699999,870.0
1496234381.432785,2749999,1095.0
1496235875.827901,2799999,1320.0
1496237368.068751,2849999,1160.0
1496238858.67874,2899999,1210.0
1496240350.851383,2949999,1120.0
1496241840.981437,2999999,1205.0
1496243338.925566,3049999,1035.0
1496244831.962711,3099999,1015.0
1496246325.399657,3149999,1090.0
1496247816.894807,3199999,1195.0
1496249306.961155,3249999,1200.0
1496250799.204619,3299999,1185.0
1496252288.769309,3349999,1155.0
1496253786.207064,3399999,1375.0
1496255279.574226,3449999,950.0
1496256783.420839,3499999,1085.0
1496258280.800057,3549999,1150.0
1496259786.321063,3599999,1300.0
1496261283.781497,3649999,1280.0
1496262792.577084,3699999,1275.0
1496264291.874498,3749999,1085.0
1496265789.314841,3799999,1175.0
1496267297.385823,3849999,1300.0
1496268791.444937,3899999,1430.0
1496270268.450756,3949999,1360.0
1496271760.811886,3999999,1205.0
1496273245.956431,4049999,1325.0
1496274733.490804,4099999,1475.0
1496276211.339717,4149999,1055.0
1496277687.849371,4199999,1260.0
1496279184.720298,4249999,1130.0
1496280671.645587,4299999,1145.0
1496282162.378785,4349999,1485.0
1496283643.207804,4399999,1345.0
1496285115.998829,4449999,1095.0
1496286603.629321,4499999,1230.0
1496288087.52411,4549999,1230.0
1496289583.522258,4599999,1250.0
1496291065.957076,4649999,1380.0
1496292543.740943,4699999,1230.0
1496294033.686201,4749999,1245.0
1496295518.820744,4799999,1370.0
1496297012.717536,4849999,1240.0
1496298488.657822,4899999,1220.0
1496299972.485297,4949999,1120.0
1496301466.034613,4999999,1860.0
1496302950.858222,5049999,1230.0
1496304468.6613,5099999,1500.0
1496305961.268637,5149999,1225.0
1496307452.337934,5199999,1510.0
1496308940.247905,5249999,1380.0
1496310445.307641,5299999,1375.0
1496311947.037864,5349999,1355.0
1496313438.995422,5399999,1345.0
1496314929.546306,5449999,1375.0
1496316428.453753,5499999,1375.0
1496317924.497516,5549999,1055.0
1496319430.577607,5599999,1005.0
1496320931.375766,5649999,1260.0
1496322425.671467,5699999,1425.0
1496323916.131523,5749999,1150.0
1496325409.008437,5799999,1245.0
1496326899.160622,5849999,1045.0
1496328393.53511,5899999,1170.0
1496329885.818859,5949999,1445.0
1496331377.722187,5999999,1155.0
1496332881.156019,6049999,1345.0
1496334380.60853,6099999,1405.0
1496335878.011044,6149999,1230.0
1496337369.132373,6199999,1475.0
1496338864.613792,6249999,1170.0
1496340358.180593,6299999,1285.0
1496341851.814346,6349999,1145.0
1496343343.251849,6399999,1580.0
1496344834.605718,6449999,1185.0
1496346329.894085,6499999,1735.0
1496347826.240312,6549999,1375.0
1496349317.483567,6599999,1280.0
1496350806.385289,6649999,1010.0
1496352298.91043,6699999,1200.0
1496353773.821392,6749999,1730.0
1496355260.958623,6799999,1315.0
1496356754.922324,6849999,1790.0
1496358225.554745,6899999,1150.0
1496359709.653758,6949999,1575.0
1496361175.007243,6999999,1185.0
1496362662.407653,7049999,1105.0
1496364159.149457,7099999,1250.0
1496365643.504914,7149999,1270.0
1496367135.279043,7199999,1170.0
1496368605.386512,7249999,1350.0
1496370087.535309,7299999,1210.0
1496371591.727368,7349999,1375.0
1496373098.29498,7399999,1095.0
