Wall time,Step,Value
1495556506.108818,99999,8800.0
1495557598.661371,149999,7500.0
1495558697.837282,199999,7600.0
1495559782.342134,249999,8100.0
1495560882.580532,299999,8300.0
1495561990.711034,349999,8600.0
1495563108.193045,399999,8000.0
1495564243.195788,449999,6400.0
1495565389.620666,499999,8600.0
1495566545.312641,549999,8100.0
1495567701.911687,599999,7500.0
1495568858.317126,649999,6200.0
1495570014.132976,699999,10900.0
1495571169.43944,749999,12500.0
1495572322.937034,799999,8100.0
1495573474.12267,849999,8000.0
1495574622.633699,899999,8400.0
1495575771.568586,949999,8000.0
1495576920.080326,999999,8000.0
1495578068.565747,1049999,9400.0
1495579225.254552,1099999,8000.0
1495580374.400116,1149999,11600.0
1495581523.917189,1199999,8000.0
1495582669.138093,1249999,9500.0
1495583823.887771,1299999,8600.0
1495584995.059137,1349999,10100.0
1495586162.901357,1399999,11000.0
1495587330.31543,1449999,8500.0
1495588492.197997,1499999,12600.0
1495589646.963128,1549999,8400.0
1495590814.033561,1599999,7900.0
1495591976.480859,1649999,10100.0
1495593150.0062,1699999,24500.0
1495594339.426125,1749999,11200.0
1495595521.760243,1799999,9100.0
1495596705.867557,1849999,11300.0
1495597879.685974,1899999,12000.0
1495599051.358409,1949999,15200.0
1495600224.899707,1999999,9200.0
1495601388.385282,2049999,8000.0
1495602552.040064,2099999,13600.0
1495603718.84719,2149999,13700.0
1495604887.17716,2199999,13300.0
1495606051.590548,2249999,13800.0
1495607211.509324,2299999,13200.0
1495608369.375102,2349999,20300.0
1495609529.32472,2399999,15200.0
1495610681.496079,2449999,15100.0
1495611839.910086,2499999,16300.0
1495612991.922781,2549999,16800.0
1495614146.093246,2599999,15400.0
1495615302.51924,2649999,14900.0
1495616448.647053,2699999,14000.0
1495617592.646409,2749999,16300.0
1495618737.678101,2799999,24400.0
1495619880.006324,2849999,15800.0
1495621019.04404,2899999,16300.0
1495622159.753387,2949999,14400.0
1495623300.114236,2999999,16600.0
1495624438.402015,3049999,16100.0
1495625584.368919,3099999,14800.0
1495626736.260453,3149999,17000.0
1495627895.2318,3199999,16800.0
1495629059.528606,3249999,19400.0
1495630215.442919,3299999,23700.0
1495631374.833993,3349999,22900.0
