Wall time,Step,Value
1495992330.824651,99999,6000.0
1495993574.27596,149999,6600.0
1495994806.669746,199999,8300.0
1495996047.819193,249999,7000.0
1495997298.71288,299999,7500.0
1495998557.92015,349999,7000.0
1495999829.350545,399999,7600.0
1496001115.075491,449999,12400.0
1496002409.124278,499999,7600.0
1496003712.663824,549999,7600.0
1496005021.30982,599999,8200.0
1496006331.113419,649999,6600.0
1496007642.035976,699999,8700.0
1496008952.331045,749999,8100.0
1496010262.74814,799999,7500.0
1496011572.108554,849999,7200.0
1496012882.400385,899999,8300.0
1496014192.413606,949999,8500.0
1496015502.659022,999999,7800.0
1496016812.303224,1049999,7500.0
1496018121.153975,1099999,13000.0
1496019430.585222,1149999,8100.0
1496020740.688426,1199999,9900.0
1496022050.015159,1249999,8900.0
1496023358.541949,1299999,9300.0
1496024666.811494,1349999,7200.0
1496025976.438626,1399999,7200.0
1496027286.213445,1449999,12900.0
1496028597.65124,1499999,6700.0
1496029906.766073,1549999,8500.0
1496031216.572687,1599999,8000.0
1496032525.039247,1649999,11400.0
1496033834.14604,1699999,9700.0
1496035144.238665,1749999,11200.0
1496036453.519103,1799999,8400.0
1496037762.928825,1849999,8800.0
1496039070.676168,1899999,13100.0
1496040378.551875,1949999,12700.0
1496041704.671881,1999999,13000.0
1496043027.660952,2049999,13400.0
1496044357.035589,2099999,15600.0
1496045678.265736,2149999,13600.0
1496047000.425216,2199999,13200.0
1496048326.381809,2249999,26900.0
1496049695.306006,2299999,17000.0
1496051065.409957,2349999,15500.0
1496052438.129662,2399999,15600.0
1496053806.215389,2449999,17100.0
1496055182.161221,2499999,18200.0
1496056556.111738,2549999,21100.0
1496057932.101778,2599999,16800.0
1496059299.395089,2649999,22000.0
1496060668.945022,2699999,17600.0
1496062037.54439,2749999,29200.0
1496063405.538734,2799999,21700.0
1496064775.493228,2849999,39100.0
1496066145.683649,2899999,17000.0
1496067517.274701,2949999,20700.0
1496068889.500893,2999999,23400.0
1496070269.920731,3049999,15800.0
1496071652.574547,3099999,23000.0
1496073033.373851,3149999,23500.0
1496074414.167691,3199999,16300.0
1496075796.294046,3249999,29600.0
1496077179.997114,3299999,23100.0
1496078562.197214,3349999,22300.0
1496079943.115483,3399999,30900.0
1496081329.079479,3449999,33100.0
1496082714.549262,3499999,32700.0
1496084100.413267,3549999,25100.0
1496085485.752107,3599999,29700.0
1496086871.494875,3649999,27700.0
1496088257.73358,3699999,31900.0
1496089634.8307,3749999,26400.0
1496091019.55157,3799999,36600.0
1496092406.654767,3849999,18600.0
1496093793.715921,3899999,36900.0
1496095180.250295,3949999,33800.0
1496096567.811605,3999999,28200.0
1496097954.360935,4049999,24600.0
1496099341.276232,4099999,30700.0
1496100728.563476,4149999,42700.0
1496102116.692955,4199999,31000.0
1496103503.410757,4249999,24100.0
1496104890.35482,4299999,34000.0
1496106276.385613,4349999,24300.0
1496107663.570276,4399999,34200.0
1496109050.644486,4449999,25100.0
1496110438.223907,4499999,37600.0
1496111825.190985,4549999,31900.0
1496113211.91497,4599999,33200.0
1496114598.772281,4649999,31200.0
1496115985.725054,4699999,25100.0
1496117371.964317,4749999,39000.0
1496118760.358739,4799999,34200.0
1496120148.951754,4849999,34500.0
1496121535.019155,4899999,27900.0
1496122922.865635,4949999,27500.0
1496124311.579132,4999999,32900.0
1496125699.713947,5049999,26100.0
1496127086.862947,5099999,25800.0
1496128474.472974,5149999,32600.0
1496129863.566066,5199999,36000.0
1496131250.88872,5249999,33000.0
1496132636.395406,5299999,33100.0
1496134022.391464,5349999,27900.0
1496135400.840666,5399999,47600.0
1496136779.386021,5449999,27500.0
1496138158.843949,5499999,41500.0
1496139537.739039,5549999,38500.0
1496140916.396119,5599999,32600.0
1496142293.640905,5649999,26700.0
1496143671.999618,5699999,29000.0
1496145050.229111,5749999,33500.0
1496146430.732753,5799999,37000.0
1496147810.969655,5849999,34700.0
1496149192.714256,5899999,34900.0
1496150573.953593,5949999,38500.0
1496151954.039915,5999999,34400.0
1496153334.425358,6049999,35400.0
1496154717.012721,6099999,33800.0
1496156097.853238,6149999,45300.0
1496157478.650166,6199999,36500.0
1496158860.622716,6249999,39200.0
1496160243.013957,6299999,28400.0
1496161625.558294,6349999,33100.0
1496163008.302011,6399999,39700.0
1496164391.099009,6449999,35800.0
1496165771.764811,6499999,37200.0
1496167155.573013,6549999,30600.0
1496168539.534184,6599999,38300.0
1496169922.338194,6649999,28400.0
1496171306.460037,6699999,50000.0
1496172688.234072,6749999,46000.0
1496174071.311057,6799999,37200.0
