Wall time,Step,Value
1495555885.180373,99999,6200.0
1495557087.5294,149999,7800.0
1495558295.70504,199999,8400.0
1495559565.343892,249999,8000.0
1495560852.457673,299999,7300.0
1495562154.396932,349999,7500.0
1495563476.178414,399999,10500.0
1495564772.703765,449999,6200.0
1495566075.849928,499999,8900.0
1495567409.165815,549999,6500.0
1495568746.65971,599999,8200.0
1495570086.713545,649999,7300.0
1495571426.840598,699999,6700.0
1495572765.448659,749999,12300.0
1495574106.709466,799999,7300.0
1495575440.564481,849999,6900.0
1495576797.617323,899999,8200.0
1495578133.671016,949999,8500.0
1495579461.294794,999999,7100.0
1495580793.799991,1049999,9400.0
1495582124.216094,1099999,7000.0
1495583460.228519,1149999,9800.0
1495584793.474783,1199999,9500.0
1495586130.341213,1249999,9400.0
1495587470.46861,1299999,7600.0
1495588811.19913,1349999,7600.0
1495590142.601472,1399999,8200.0
1495591477.824578,1449999,7400.0
1495592810.390151,1499999,7600.0
1495594135.524176,1549999,8500.0
1495595475.975336,1599999,9200.0
1495596818.892897,1649999,8000.0
1495598153.652772,1699999,12500.0
1495599486.830774,1749999,10900.0
1495600805.7226,1799999,10800.0
1495602128.092725,1849999,8800.0
1495603446.698742,1899999,9300.0
1495604765.453604,1949999,13600.0
1495606094.888812,1999999,15000.0
1495607427.367904,2049999,15700.0
1495608769.064393,2099999,14800.0
1495610095.539371,2149999,16600.0
1495611445.959509,2199999,22100.0
1495612796.818146,2249999,18200.0
1495614143.179975,2299999,16700.0
1495615491.358674,2349999,23100.0
1495616875.350129,2399999,22900.0
1495618234.276285,2449999,23200.0
1495619575.344404,2499999,26700.0
1495620925.996173,2549999,22900.0
1495622263.994785,2599999,38600.0
1495623580.50497,2649999,25400.0
1495624904.195614,2699999,30100.0
1495626230.476292,2749999,24200.0
1495627575.381451,2799999,34500.0
1495628923.734543,2849999,25100.0
1495630266.882629,2899999,25100.0
1495631631.855124,2949999,28500.0
1495632995.077967,2999999,34800.0
1495634354.409387,3049999,33900.0
1495635722.092295,3099999,35900.0
