Wall time,Step,Value
1495997519.62486,99999,7600.0
1495998567.897445,149999,7900.0
1495999613.260538,199999,8200.0
1496000665.722838,249999,7800.0
1496001730.0469,299999,13200.0
1496002803.475559,349999,8000.0
1496003889.088736,399999,6400.0
1496004984.911725,449999,9000.0
1496006092.814542,499999,8200.0
1496007212.986647,549999,12700.0
1496008336.94613,599999,6400.0
1496009462.136498,649999,7600.0
1496010586.145294,699999,8600.0
1496011710.726932,749999,8200.0
1496012835.518727,799999,8900.0
1496013961.222127,849999,5800.0
1496015086.498975,899999,5600.0
1496016212.140408,949999,8500.0
1496017336.812547,999999,8200.0
1496018462.490403,1049999,7400.0
1496019588.737302,1099999,7300.0
1496020713.370664,1149999,5700.0
1496021836.969136,1199999,8700.0
1496022960.067093,1249999,7700.0
1496024083.307147,1299999,8900.0
1496025206.115471,1349999,12000.0
1496026327.759332,1399999,7300.0
1496027450.55884,1449999,8700.0
1496028571.719595,1499999,8800.0
1496029692.998429,1549999,15300.0
1496030815.069966,1599999,13800.0
1496031935.742309,1649999,17800.0
1496033056.93174,1699999,13100.0
1496034177.487303,1749999,13000.0
1496035297.848886,1799999,14300.0
1496036417.547099,1849999,18000.0
1496037535.62918,1899999,15000.0
1496038654.112663,1949999,20600.0
1496039773.020011,1999999,27400.0
1496040892.451896,2049999,14800.0
1496042011.946679,2099999,22700.0
1496043131.502116,2149999,16100.0
1496044251.652649,2199999,24000.0
1496045370.902133,2249999,34500.0
1496046491.108542,2299999,26400.0
1496047609.913749,2349999,15700.0
1496048745.689335,2399999,15500.0
1496049884.354894,2449999,17500.0
1496051025.344507,2499999,21400.0
1496052167.014478,2549999,16500.0
1496053309.136113,2599999,25300.0
1496054452.004574,2649999,17200.0
1496055596.835089,2699999,18500.0
1496056742.685538,2749999,23300.0
1496057887.812255,2799999,19400.0
1496059035.009442,2849999,20200.0
1496060182.129489,2899999,19700.0
1496061330.479572,2949999,26900.0
1496062480.323316,2999999,26200.0
1496063629.765485,3049999,26200.0
1496064781.040835,3099999,21100.0
1496065931.66589,3149999,23000.0
1496067083.938434,3199999,33200.0
1496068237.711729,3249999,31800.0
1496069391.003576,3299999,24600.0
1496070543.958599,3349999,33600.0
1496071699.082052,3399999,26100.0
1496072853.458826,3449999,38500.0
1496074010.288828,3499999,27100.0
1496075165.954093,3549999,31700.0
1496076322.498843,3599999,33000.0
1496077480.949896,3649999,30900.0
1496078640.154366,3699999,29700.0
1496079799.113778,3749999,32300.0
1496080958.390222,3799999,33800.0
1496082118.000614,3849999,25900.0
1496083277.520789,3899999,24800.0
1496084438.921459,3949999,34300.0
1496085600.064885,3999999,33600.0
1496086762.517632,4049999,35600.0
1496087924.955962,4099999,28900.0
1496089087.098585,4149999,32900.0
1496090250.740126,4199999,27900.0
1496091411.948212,4249999,28600.0
1496092573.632485,4299999,29300.0
1496093735.843914,4349999,45700.0
1496094898.396503,4399999,45100.0
